"","matricula","atividade"
"1","107076E4",0.176
"2","10E8A59E",0.312
"3","13085463",0.32
"4","1397BFB0",0.376
"5","14A1B78B",0.264
"6","15A3743B",0.224
"7","15EA15E5",0.256
"8","1706D43",0.208
"9","1823A1FA",0.168
"10","189E4323",0.256
"11","19449717",0.352
"12","1A25F6BF",0.32
"13","1ABFFBDD",0.272
"14","1B52DD48",0.072
"15","1B81A33E",0.432
"16","1C897F15",0.256
"17","1CCD2085",0.272
"18","1DF2A12E",0.44
"19","210B0D56",0.296
"20","21604216",0.28
"21","21C00083",0.2
"22","224511B3",0.192
"23","22EB47AA",0.344
"24","240164B6",0.208
"25","2556AF8C",0.28
"26","2561F105",0.048
"27","25762941",0.304
"28","258DFC4B",0.376
"29","267C1E34",0.296
"30","26EA2FA",0.216
"31","2777E5EE",0.28
"32","281286BC",0.264
"33","28E49A9D",0.16
"34","2B989949",0.416
"35","32B00B44",0.272
"36","347D5E36",0.384
"37","37594F45",0.432
"38","3826E0DE",0.368
"39","390C0CCC",0.328
"40","3A1B84F4",0.416
"41","3BC456D5",0.256
"42","3FE45559",0.136
"43","4195063D",0.096
"44","445E679D",0.176
"45","4482494C",0.256
"46","44AF14C1",0.52
"47","44D029E4",0.16
"48","46484C5E",0.616
"49","48295835",0.32
"50","492E11B4",0.12
"51","4AD45AC5",0.32
"52","4B929F6",0.224
"53","4C84103A",0.28
"54","4D98EE47",0.336
"55","4DA185E9",0.024
"56","51FE3830",0.304
"57","52C319A1",0.16
"58","52E571B8",0.144
"59","55BA642E",0.192
"60","562A867F",0.36
"61","5978A120",0.32
"62","5B8F96B8",0.208
"63","5CD8B4FE",0.16
"64","5D73E08B",0.272
"65","5DEBE97D",0.224
"66","5EA91E42",0.4
"67","60BAF986",0.128
"68","619B5433",0.232
"69","63116A24",0.408
"70","64B26A18",0.176
"71","673B031F",0.32
"72","67657F86",0.4
"73","68151142",0.36
"74","6878BF80",0.24
"75","68FA8B73",0.192
"76","69DEEC46",0.272
"77","6A197CF",0.384
"78","6BA5CF35",0.328
"79","6C643AAF",0.144
"80","70F93A3B",0.24
"81","71F3C736",0.416
"82","7365085E",0.176
"83","740BC298",0.4
"84","74E3795C",0.208
"85","77089DA4",0.184
"86","77A35CA",0.312
"87","792B1580",0.2
"88","79CBE190",0.312
"89","79D7BD5B",0.376
"90","7BA159DE",0.192
"91","7BCB919D",0.456
"92","7BF33A4A",0.304
"93","7C52AF6D",0.2
"94","7DCD514D",0.432
"95","8CAB3DB",0.144
"96","ADBC154",0.192
"97","B30252C",0.16
"98","B5D2F64",0.16
"99","E3A19A",0.232
"100","F952D04",0.312
