"matricula","mediana.sessao","nota.final.pratica","num.exercicios","tempo.total.estudo","atividade"
"107076E4",789,2.7,29,5.80888888888889,0.392857142857143
"10E8A59E",1152,5.8,28,6.53444444444444,0.5
"13085463",472,6.7,36,6.03666666666667,0.535714285714286
"1397BFB0",534.5,8.9,56,10.5869444444444,0.785714285714286
"14A1B78B",2984,7,56,11.6241666666667,0.678571428571429
"15A3743B",2590.5,7.4,59,11.1522222222222,0.571428571428571
"15EA15E5",178,3.4,28,2.88611111111111,0.428571428571429
"189E4323",14,1.7,37,7.90777777777778,0.607142857142857
"19449717",155,7.6,42,6.0475,0.821428571428571
"1A25F6BF",1866,5.6,43,9.55472222222222,0.642857142857143
"1B81A33E",557,9.1,62,8.63444444444444,0.821428571428571
"1DF2A12E",1629,8.7,68,12.8494444444444,0.75
"210B0D56",2205,8.4,78,12.4725,0.714285714285714
"21604216",505,7.1,43,8.41472222222222,0.607142857142857
"22EB47AA",1571,7.7,57,14.3380555555556,0.75
"240164B6",0,2.1,17,3.70555555555556,0.321428571428571
"2556AF8C",1215,6,36,6.80861111111111,0.464285714285714
"2561F105",149,0.6,6,0.695833333333333,0.142857142857143
"25762941",1002.5,7.8,52,8.92555555555556,0.642857142857143
"258DFC4B",708,7.6,50,10.475,0.75
"267C1E34",2879,8.2,56,14.3888888888889,0.678571428571429
"26EA2FA",1157,7.1,36,5.64444444444444,0.5
"2777E5EE",1103.5,6.2,30,6.55277777777778,0.5
"281286BC",3079,8.5,60,11.8961111111111,0.607142857142857
"28E49A9D",1690,3,36,7.73416666666667,0.464285714285714
"2B989949",493,5.6,25,5.86416666666667,0.428571428571429
"37594F45",888,7.2,52,7.07166666666667,0.642857142857143
"3826E0DE",1474,7.6,49,10.52,0.678571428571429
"390C0CCC",1919,7,45,9.62722222222222,0.571428571428571
"3A1B84F4",3032,7.6,76,16.7044444444444,0.785714285714286
"3FE45559",641.5,3.9,21,2.05166666666667,0.285714285714286
"4195063D",0,0.9,12,1.29027777777778,0.321428571428571
"445E679D",1144,7.2,33,4.79916666666667,0.464285714285714
"4482494C",3025,8.5,82,12.9555555555556,0.535714285714286
"44AF14C1",3244,7.2,50,16.6616666666667,0.714285714285714
"44D029E4",909.5,1.3,29,5.64777777777778,0.428571428571429
"46484C5E",2221,7.5,47,13.7461111111111,0.75
"492E11B4",3543,2.5,31,8.70194444444444,0.392857142857143
"4AD45AC5",2541,9.1,73,13.4613888888889,0.678571428571429
"4B929F6",50,8.3,29,3.78722222222222,0.5
"4C84103A",1084.5,8.4,94,11.8358333333333,0.857142857142857
"4D98EE47",3387,8.2,87,13.3494444444444,0.607142857142857
"51FE3830",2100,7.2,59,12.7486111111111,0.75
"52C319A1",587.5,4.3,25,4.73333333333333,0.357142857142857
"52E571B8",1625.5,3.1,27,4.93361111111111,0.357142857142857
"55BA642E",438.5,7.1,16,1.91027777777778,0.285714285714286
"562A867F",265,7.9,49,6.28638888888889,0.678571428571429
"5978A120",2557,8.7,61,10.7836111111111,0.571428571428571
"5B8F96B8",1206,6.4,35,4.4425,0.321428571428571
"5CD8B4FE",728.5,6.2,23,2.75361111111111,0.285714285714286
"5EA91E42",2245,8.1,49,11.6955555555556,0.642857142857143
"60BAF986",1880.5,2.8,23,3.54527777777778,0.285714285714286
"63116A24",2595,8.3,63,11.2766666666667,0.642857142857143
"64B26A18",0,1.4,24,3.13388888888889,0.464285714285714
"673B031F",1646,6.8,59,11.4716666666667,0.714285714285714
"67657F86",1274,7.2,46,9.205,0.678571428571429
"6878BF80",1288,7.6,67,8.74222222222222,0.678571428571429
"68FA8B73",12.5,8.3,31,3.105,0.428571428571429
"6A197CF",140.5,7.2,38,7.46527777777778,0.642857142857143
"6C643AAF",0,1.3,18,3.40666666666667,0.392857142857143
"71F3C736",1958,8.4,42,13.2922222222222,0.678571428571429
"7365085E",852,2.5,104,6.37583333333333,0.5
"740BC298",3103.5,3.8,27,9.57527777777778,0.428571428571429
"74E3795C",549,5.6,27,4.075,0.428571428571429
"77089DA4",1277,2.9,30,5.43861111111111,0.535714285714286
"77A35CA",1851,9.2,53,9.22222222222222,0.571428571428571
"792B1580",1413,2.6,24,4.44416666666667,0.321428571428571
"79CBE190",2903,7.5,56,14.885,0.75
"7BCB919D",2600,7.8,78,16.5077777777778,0.785714285714286
"7BF33A4A",2203.5,6.5,59,11.2827777777778,0.642857142857143
"7C52AF6D",2480,7.8,99,11.4491666666667,0.607142857142857
"7DCD514D",1972,7.2,43,11.5930555555556,0.607142857142857
"8CAB3DB",687,1.6,15,3.20444444444444,0.285714285714286
"ADBC154",4229,5.8,55,13.88,0.535714285714286
"B5D2F64",2283.5,3.1,28,7.43222222222222,0.428571428571429
"E3A19A",1936.5,6.8,54,10.3808333333333,0.642857142857143
"F952D04",164,8.7,60,8.30972222222222,0.678571428571429
