"matricula","mediana.sessao","nota.final.pratica","num.exercicios","tempo.total.estudo","atividade"
"107076E4",1297.5,2.7,74,14.4166666666667,0.185567010309278
"10E8A59E",436.5,5.8,144,16.7980555555556,0.309278350515464
"13085463",1099,6.7,119,22.8452777777778,0.288659793814433
"1397BFB0",234,8.9,135,22.6091666666667,0.329896907216495
"14A1B78B",4152.5,7,57,13.155,0.144329896907216
"15A3743B",1961,7.4,93,19.0125,0.144329896907216
"15EA15E5",248,3.4,85,15.3647222222222,0.247422680412371
"189E4323",310,1.7,81,10.2066666666667,0.195876288659794
"19449717",268.5,7.6,122,7.98416666666667,0.257731958762887
"1A25F6BF",2556,5.6,112,29.8563888888889,0.257731958762887
"1B81A33E",789,9.1,132,18.7313888888889,0.402061855670103
"1DF2A12E",636,8.7,139,20.9247222222222,0.484536082474227
"210B0D56",636.5,8.4,126,13.6530555555556,0.206185567010309
"21604216",595,7.1,118,9.03777777777778,0.247422680412371
"22EB47AA",2836.5,7.7,125,27.6241666666667,0.278350515463918
"240164B6",484,2.1,57,8.25111111111111,0.206185567010309
"2556AF8C",282,6,123,18.2513888888889,0.288659793814433
"2561F105",1287,0.6,26,2.96888888888889,0.0515463917525773
"25762941",392.5,7.8,117,24.64,0.288659793814433
"258DFC4B",1428.5,7.6,114,44.1002777777778,0.298969072164948
"267C1E34",0,8.2,102,7.61916666666667,0.237113402061856
"26EA2FA",1075,7.1,76,12.8827777777778,0.144329896907216
"2777E5EE",1754,6.2,123,29.3538888888889,0.298969072164948
"281286BC",1130.5,8.5,125,13.1955555555556,0.206185567010309
"28E49A9D",748.5,3,61,13.4269444444444,0.0927835051546392
"2B989949",443,5.6,156,28.8625,0.43298969072165
"37594F45",1951,7.2,115,34.8538888888889,0.43298969072165
"3826E0DE",1296.5,7.6,140,40.8991666666667,0.422680412371134
"390C0CCC",261,7,146,9.90972222222222,0.319587628865979
"3A1B84F4",661.5,7.6,115,25.6422222222222,0.43298969072165
"3FE45559",254.5,3.9,37,1.44805555555556,0.0927835051546392
"4195063D",18,0.9,15,0.415833333333333,0.0618556701030928
"445E679D",1598,7.2,82,11.5730555555556,0.11340206185567
"4482494C",13.5,8.5,100,5.06555555555556,0.247422680412371
"44AF14C1",48,7.2,146,49.7513888888889,0.577319587628866
"44D029E4",522,1.3,38,8.21444444444444,0.123711340206186
"46484C5E",35,7.5,148,41.6388888888889,0.731958762886598
"492E11B4",808,2.5,26,1.89555555555556,0.0515463917525773
"4AD45AC5",1184.5,9.1,97,14.5780555555556,0.257731958762887
"4B929F6",719,8.3,153,4.54972222222222,0.175257731958763
"4C84103A",192,8.4,111,7.12611111111111,0.154639175257732
"4D98EE47",814.5,8.2,114,18.6480555555556,0.329896907216495
"51FE3830",2919.5,7.2,117,37.7966666666667,0.278350515463918
"52C319A1",1900.5,4.3,75,21.5311111111111,0.134020618556701
"52E571B8",352,3.1,33,1.42805555555556,0.103092783505155
"55BA642E",564,7.1,105,11.0505555555556,0.195876288659794
"562A867F",428,7.9,131,12.6355555555556,0.309278350515464
"5978A120",593.5,8.7,106,11.8636111111111,0.298969072164948
"5B8F96B8",1031.5,6.4,77,11.3011111111111,0.195876288659794
"5CD8B4FE",156,6.2,54,2.06888888888889,0.123711340206186
"5EA91E42",600,8.1,108,21.3111111111111,0.381443298969072
"60BAF986",383,2.8,25,2.74972222222222,0.103092783505155
"63116A24",282,8.3,130,17.9138888888889,0.402061855670103
"64B26A18",98.5,1.4,23,2.36194444444444,0.103092783505155
"673B031F",1213,6.8,101,20.4055555555556,0.257731958762887
"67657F86",309.5,7.2,119,20.2233333333333,0.381443298969072
"6878BF80",1247,7.6,76,8.60916666666667,0.144329896907216
"68FA8B73",2538,8.3,137,17.0969444444444,0.154639175257732
"6A197CF",350,7.2,119,19.2263888888889,0.34020618556701
"6C643AAF",342.5,1.3,25,2.95527777777778,0.103092783505155
"71F3C736",1144,8.4,128,30.0261111111111,0.463917525773196
"7365085E",257,2.5,52,2.71944444444444,0.123711340206186
"740BC298",632,3.8,134,34.0436111111111,0.474226804123711
"74E3795C",83,5.6,75,3.16638888888889,0.175257731958763
"77089DA4",1532,2.9,27,5.36527777777778,0.103092783505155
"77A35CA",231,9.2,93,11.7877777777778,0.268041237113402
"792B1580",94.5,2.6,85,10.8275,0.185567010309278
"79CBE190",1356,7.5,102,16.0986111111111,0.268041237113402
"7BCB919D",303,7.8,119,27.8986111111111,0.494845360824742
"7BF33A4A",458,6.5,69,8.43388888888889,0.268041237113402
"7C52AF6D",1793,7.8,42,5.54888888888889,0.103092783505155
"7DCD514D",8.5,7.2,130,25.4916666666667,0.494845360824742
"8CAB3DB",545,1.6,42,10.1955555555556,0.144329896907216
"ADBC154",487,5.8,44,3.67555555555556,0.154639175257732
"B5D2F64",1841,3.1,51,6.11166666666667,0.0927835051546392
"E3A19A",1158,6.8,78,6.33277777777778,0.123711340206186
"F952D04",252,8.7,116,10.9805555555556,0.257731958762887
