"matricula","turma","data.hora","status","nota","turma.pratica","timestamp","classe","session","timeSession","amountSubmission"
"1B81A33E",1,"9/30/2011 17:05:50","...F..........",9.3,1,1317413150,"realizado em horario de aula",1,-12815507,2
"1DF2A12E",3,"10/24/2011 11:21:47","..*",9,1,1319462507,"realizado em horario de aula",1,-80301123,16
"2556AF8C",1,"9/17/2011 3:55:36","***",7,2,1316242536,"realizado em horario de aula",1,-5281464,2
"3A1B84F4",3,"11/21/2011 10:46:22",".....FFF..",7,3,1321879582,"realizado em horario de aula",1,-135812675,26
"5DEBE97D",1,"9/27/2011 7:23:27","...",10,5,1317119007,"realizado em horario de aula",1,-11141868,3
"14A1B78B",1,"8/10/2011 12:59:45","f",0,1,1312991985,"realizado em horario de aula",1,0,1
"44AF14C1",1,"10/7/2011 9:53:52","...........",10,3,1317992032,"realizado em horario de aula",1,-23098575,5
"6BA5CF35",1,"9/27/2011 19:58:42","...",10,5,1317164322,"realizado em horario de aula",1,-37630561,6
"10E8A59E",3,"11/11/2011 12:43:49","***",7,2,1321022629,"realizado em horario de aula",1,-40080825,10
"258DFC4B",1,"10/24/2011 11:10:23","......",10,1,1319461823,"realizado em horario de aula",1,-17059871,4
"51FE3830",2,"8/12/2011 15:57:05",".",10,4,1313175425,"realizado em horario de aula",1,0,1
"44D029E4",1,"9/27/2011 17:42:18","FFFFFF",0,4,1317156138,"realizado em horario de aula",1,-51126157,8
"77A35CA",3,"9/18/2011 12:46:23","..",10,3,1316360783,"realizado em horario de aula",1,-55610875,8
"7DCD514D",1,"10/2/2011 18:27:49","SSS",0,4,1317590869,"realizado em horario de aula",1,-4624331,2
"28E49A9D",4,"9/1/2011 8:57:55",".",10,1,1314878275,"realizado em horario de aula",1,-14186377,3
"673B031F",1,"11/17/2011 8:48:39","....FF..",7.5,1,1321526919,"realizado em horario de aula",1,-78564206,16
"792B1580",1,"11/18/2011 21:56:58","...",10,4,1321660618,"realizado em horario de aula",1,-39865364,8
"7365085E",1,"9/29/2011 8:21:49","....",10,2,1317295309,"realizado em horario de aula",1,-28198474,6
"4B929F6",1,"9/17/2011 12:09:12","...",10,2,1316272152,"realizado em horario de aula",1,-5251848,2
"70F93A3B",1,"11/11/2011 18:20:36",".......",10,5,1321042836,"realizado em horario de aula",1,-8677203,3
"492E11B4",1,"9/16/2011 9:31:53","SSSS",0,3,1316176313,"realizado em horario de aula",1,-6060487,2
"71F3C736",1,"10/19/2011 11:58:35","..............",10,1,1319032715,"realizado em horario de aula",1,-15982376,4
"3BC456D5",1,"11/18/2011 10:23:19","**",7,5,1321618999,"realizado em horario de aula",1,-103585481,19
"48295835",1,"11/18/2011 10:59:05","......",10,5,1321621145,"realizado em horario de aula",1,-14679566,4
"32B00B44",3,"9/9/2011 11:55:09","ff",0,5,1315580109,"realizado em horario de aula",1,-6642291,2
"740BC298",2,"11/22/2011 18:05:28","f*",3.5,4,1321992328,"realizado em horario de aula",1,-24290619,8
"25762941",2,"11/3/2011 8:32:34",".....f",8.3,1,1320316354,"realizado em horario de aula",1,-25912675,6
"4AD45AC5",1,"10/21/2011 9:31:03",".",10,3,1319196663,"realizado em horario de aula",1,-87126863,16
"5978A120",1,"10/29/2011 10:43:26",".......",10,1,1319892206,"realizado em horario de aula",1,-35244284,8
"63116A24",2,"10/20/2011 8:47:01","....",10,1,1319107621,"realizado em horario de aula",1,-20548138,5
"4482494C",2,"9/20/2011 21:46:12",".....",10,3,1316565972,"realizado em horario de aula",1,-21072957,4
"2B989949",1,"10/27/2011 18:26:16","...",10,1,1319747176,"realizado em horario de aula",1,-64987582,16
"3826E0DE",1,"9/10/2011 0:04:27","...",10,3,1315623867,"realizado em horario de aula",1,-6612933,2
"6A197CF",2,"9/8/2011 9:58:53","....",10,1,1315486733,"realizado em horario de aula",1,-28520614,5
"6878BF80",1,"10/28/2011 10:22:30","....",10,1,1319804550,"realizado em horario de aula",1,-42329940,10
"562A867F",5,"9/21/2011 19:51:36","f",0,1,1316645496,"realizado em horario de aula",1,-10233176,3
