"matricula","meanSessions","Prova"
"107076E4",55412,"Prova1"
"10E8A59E",25963,"Prova1"
"13085463",49487,"Prova1"
"1397BFB0",81954,"Prova1"
"14A1B78B",38850,"Prova1"
"15A3743B",46439,"Prova1"
"15EA15E5",39279,"Prova1"
"1706D43",23706,"Prova1"
"1823A1FA",78528,"Prova1"
"189E4323",42232,"Prova1"
"19449717",20445,"Prova1"
"1A25F6BF",95473,"Prova1"
"1ABFFBDD",26495,"Prova1"
"1B52DD48",5944,"Prova1"
"1B81A33E",48691,"Prova1"
"1C897F15",31352,"Prova1"
"1CCD2085",22203,"Prova1"
"1DF2A12E",72800,"Prova1"
"210B0D56",31519,"Prova1"
"21604216",36229,"Prova1"
"21C00083",39585,"Prova1"
"224511B3",34094,"Prova1"
"22EB47AA",78703,"Prova1"
"240164B6",50560,"Prova1"
"2556AF8C",74685,"Prova1"
"2561F105",16886,"Prova1"
"25762941",66696,"Prova1"
"258DFC4B",102406,"Prova1"
"267C1E34",35754,"Prova1"
"26EA2FA",45581,"Prova1"
"2777E5EE",82224,"Prova1"
"281286BC",45266,"Prova1"
"28E49A9D",75990,"Prova1"
"2B989949",45516,"Prova1"
"32B00B44",71186,"Prova1"
"347D5E36",81337,"Prova1"
"37594F45",96404,"Prova1"
"3826E0DE",93064,"Prova1"
"390C0CCC",27151,"Prova1"
"3A1B84F4",66571,"Prova1"
"3BC456D5",32632,"Prova1"
"3FE45559",9025,"Prova1"
"4195063D",3133,"Prova1"
"445E679D",43489,"Prova1"
"4482494C",38435,"Prova1"
"44AF14C1",146968,"Prova1"
"44D029E4",48930,"Prova1"
"46484C5E",100911,"Prova1"
"48295835",37808,"Prova1"
"492E11B4",29864,"Prova1"
"4AD45AC5",53255,"Prova1"
"4B929F6",11746,"Prova1"
"4C84103A",40263,"Prova1"
"4D98EE47",64479,"Prova1"
"4DA185E9",2341,"Prova1"
"51FE3830",87823,"Prova1"
"52C319A1",85317,"Prova1"
"52E571B8",12386,"Prova1"
"55BA642E",11254,"Prova1"
"562A867F",45809,"Prova1"
"5978A120",54507,"Prova1"
"5B8F96B8",26702,"Prova1"
"5CD8B4FE",12413,"Prova1"
"5D73E08B",58478,"Prova1"
"5DEBE97D",40727,"Prova1"
"5EA91E42",58935,"Prova1"
"60BAF986",13101,"Prova1"
"619B5433",27847,"Prova1"
