"matricula","sumSession"
"107076E4",20912
"10E8A59E",23524
"13085463",21732
"1397BFB0",38113
"14A1B78B",41847
"15A3743B",40148
"15EA15E5",10390
"1706D43",21401
"1823A1FA",24611
"189E4323",28468
"19449717",21771
"1A25F6BF",34397
"1B52DD48",4236
"1B81A33E",31084
"1C897F15",38766
"1CCD2085",8671
"1DF2A12E",46258
"210B0D56",44901
"21604216",30293
"21C00083",13022
"224511B3",41235
"22EB47AA",51617
"240164B6",13340
"2556AF8C",24511
"2561F105",2505
"25762941",32132
"258DFC4B",37710
"267C1E34",51800
"26EA2FA",20320
"2777E5EE",23590
"281286BC",42826
"28E49A9D",27843
"2B989949",21111
"32B00B44",41853
"347D5E36",33119
"37594F45",25458
"3826E0DE",37872
"390C0CCC",34658
"3A1B84F4",60136
"3BC456D5",36777
"3FE45559",7386
"4195063D",4645
"445E679D",17277
"4482494C",46640
"44AF14C1",59982
"44D029E4",20332
"46484C5E",49486
"48295835",28541
"492E11B4",31327
"4AD45AC5",48461
"4B929F6",13634
"4C84103A",42609
"4D98EE47",48058
"4DA185E9",178
"51FE3830",45895
"52C319A1",17040
"52E571B8",17761
"55BA642E",6877
"562A867F",22631
"5978A120",38821
"5B8F96B8",15993
"5CD8B4FE",9913
"5D73E08B",43258
"5DEBE97D",27386
"5EA91E42",42104
"60BAF986",12763
"619B5433",22985
"63116A24",40596
"64B26A18",11282
"673B031F",41298
"67657F86",33138
"68151142",39528
"6878BF80",31472
"68FA8B73",11178
"69DEEC46",34314
"6A197CF",26875
"6BA5CF35",31240
"6C643AAF",12264
"70F93A3B",10655
"71F3C736",47852
"7365085E",22953
"740BC298",34471
"74E3795C",14670
"77089DA4",19579
"77A35CA",33200
"792B1580",15999
"79CBE190",53586
"79D7BD5B",51154
"7BA159DE",20114
"7BCB919D",59428
"7BF33A4A",40618
"7C52AF6D",41217
"7DCD514D",41735
"8CAB3DB",11536
"ADBC154",49968
"B30252C",9269
"B5D2F64",26756
"E3A19A",37371
"F952D04",29915
