"matricula","sumSessions","Prova"
"107076E4",9468,"Prova1"
"10E8A59E",5984,"Prova1"
"13085463",13062,"Prova1"
"1397BFB0",28014,"Prova1"
"14A1B78B",21144,"Prova1"
"15A3743B",19489,"Prova1"
"15EA15E5",1862,"Prova1"
"1706D43",3660,"Prova1"
"1823A1FA",21646,"Prova1"
"189E4323",22088,"Prova1"
"19449717",13769,"Prova1"
"1A25F6BF",15008,"Prova1"
"1B52DD48",152,"Prova1"
"1B81A33E",8299,"Prova1"
"1C897F15",12258,"Prova1"
"1CCD2085",56,"Prova1"
"1DF2A12E",28741,"Prova1"
"210B0D56",16259,"Prova1"
"21604216",10052,"Prova1"
"21C00083",7852,"Prova1"
"224511B3",17442,"Prova1"
"22EB47AA",23405,"Prova1"
"240164B6",13340,"Prova1"
"2556AF8C",15429,"Prova1"
"2561F105",2505,"Prova1"
"25762941",15394,"Prova1"
"258DFC4B",19224,"Prova1"
"267C1E34",17423,"Prova1"
"26EA2FA",8543,"Prova1"
"2777E5EE",15904,"Prova1"
"281286BC",19354,"Prova1"
"28E49A9D",22784,"Prova1"
"2B989949",12883,"Prova1"
"32B00B44",15770,"Prova1"
"347D5E36",19499,"Prova1"
"37594F45",12155,"Prova1"
"3826E0DE",15463,"Prova1"
"390C0CCC",9112,"Prova1"
"3A1B84F4",18505,"Prova1"
"3BC456D5",8893,"Prova1"
"3FE45559",6103,"Prova1"
"4195063D",955,"Prova1"
"445E679D",2716,"Prova1"
"4482494C",15244,"Prova1"
"44AF14C1",26421,"Prova1"
"44D029E4",10086,"Prova1"
"46484C5E",17579,"Prova1"
"48295835",17542,"Prova1"
"492E11B4",22848,"Prova1"
"4AD45AC5",17234,"Prova1"
"4B929F6",4255,"Prova1"
"4C84103A",21741,"Prova1"
"4D98EE47",30739,"Prova1"
"4DA185E9",178,"Prova1"
"51FE3830",18786,"Prova1"
"52C319A1",11676,"Prova1"
"52E571B8",7453,"Prova1"
"55BA642E",3770,"Prova1"
"562A867F",12098,"Prova1"
"5978A120",26030,"Prova1"
"5B8F96B8",6087,"Prova1"
"5CD8B4FE",6846,"Prova1"
"5D73E08B",21647,"Prova1"
"5DEBE97D",20554,"Prova1"
"5EA91E42",22624,"Prova1"
"60BAF986",8312,"Prova1"
"619B5433",6009,"Prova1"
"63116A24",19228,"Prova1"
"64B26A18",5789,"Prova1"
"673B031F",21481,"Prova1"
"67657F86",9040,"Prova1"
"68151142",18530,"Prova1"
"6878BF80",15057,"Prova1"
"68FA8B73",7180,"Prova1"
"69DEEC46",12152,"Prova1"
"6A197CF",16985,"Prova1"
"6BA5CF35",11871,"Prova1"
"6C643AAF",10400,"Prova1"
"70F93A3B",5451,"Prova1"
"71F3C736",28178,"Prova1"
"7365085E",5690,"Prova1"
"740BC298",13047,"Prova1"
"74E3795C",10152,"Prova1"
"77089DA4",7602,"Prova1"
"77A35CA",12293,"Prova1"
"792B1580",11033,"Prova1"
"79CBE190",20809,"Prova1"
"79D7BD5B",23835,"Prova1"
"7BA159DE",12035,"Prova1"
"7BCB919D",21404,"Prova1"
"7BF33A4A",18379,"Prova1"
"7C52AF6D",13596,"Prova1"
"7DCD514D",13026,"Prova1"
"8CAB3DB",5560,"Prova1"
"ADBC154",26241,"Prova1"
"B30252C",2770,"Prova1"
"B5D2F64",20062,"Prova1"
"E3A19A",20080,"Prova1"
"F952D04",16624,"Prova1"
"107076E4",11444,"Prova2"
"10E8A59E",11156,"Prova2"
"13085463",7875,"Prova2"
"1397BFB0",9030,"Prova2"
"14A1B78B",18859,"Prova2"
"15A3743B",15366,"Prova2"
"15EA15E5",4595,"Prova2"
