"matricula","sumSessions","Prova"
"107076E4",32152,"Prova1"
"10E8A59E",16404,"Prova1"
"13085463",31322,"Prova1"
"1397BFB0",45581,"Prova1"
"14A1B78B",17706,"Prova1"
"15A3743B",21246,"Prova1"
"15EA15E5",29347,"Prova1"
"1706D43",16451,"Prova1"
"1823A1FA",46471,"Prova1"
"189E4323",18414,"Prova1"
"19449717",6676,"Prova1"
"1A25F6BF",74918,"Prova1"
"1ABFFBDD",26495,"Prova1"
"1B52DD48",5792,"Prova1"
"1B81A33E",37023,"Prova1"
"1C897F15",19094,"Prova1"
"1CCD2085",22147,"Prova1"
"1DF2A12E",38743,"Prova1"
"210B0D56",15260,"Prova1"
"21604216",22673,"Prova1"
"21C00083",31733,"Prova1"
"224511B3",16048,"Prova1"
"22EB47AA",53462,"Prova1"
"240164B6",29704,"Prova1"
"2556AF8C",48153,"Prova1"
"2561F105",10688,"Prova1"
"25762941",43346,"Prova1"
"258DFC4B",71133,"Prova1"
"267C1E34",16509,"Prova1"
"26EA2FA",31033,"Prova1"
"2777E5EE",49366,"Prova1"
"281286BC",25694,"Prova1"
"28E49A9D",48337,"Prova1"
"2B989949",20844,"Prova1"
"32B00B44",35646,"Prova1"
"347D5E36",56106,"Prova1"
"37594F45",63312,"Prova1"
"3826E0DE",67131,"Prova1"
"390C0CCC",17650,"Prova1"
"3A1B84F4",47680,"Prova1"
"3BC456D5",23739,"Prova1"
"3FE45559",2922,"Prova1"
"4195063D",1045,"Prova1"
"445E679D",38543,"Prova1"
"4482494C",15166,"Prova1"
"44AF14C1",92769,"Prova1"
"44D029E4",29448,"Prova1"
"46484C5E",77096,"Prova1"
"48295835",20266,"Prova1"
"492E11B4",5976,"Prova1"
"4AD45AC5",36021,"Prova1"
"4B929F6",6053,"Prova1"
"4C84103A",11306,"Prova1"
"4D98EE47",31585,"Prova1"
"4DA185E9",2163,"Prova1"
"51FE3830",59727,"Prova1"
"52C319A1",66088,"Prova1"
"52E571B8",4933,"Prova1"
"55BA642E",6719,"Prova1"
"562A867F",26060,"Prova1"
"5978A120",22943,"Prova1"
"5B8F96B8",20615,"Prova1"
"5CD8B4FE",5567,"Prova1"
"5D73E08B",36792,"Prova1"
"5DEBE97D",12900,"Prova1"
"5EA91E42",36311,"Prova1"
"60BAF986",2898,"Prova1"
"619B5433",21838,"Prova1"
"63116A24",26151,"Prova1"
"64B26A18",4925,"Prova1"
"673B031F",16777,"Prova1"
"67657F86",27036,"Prova1"
"68151142",17590,"Prova1"
"6878BF80",25511,"Prova1"
"68FA8B73",32937,"Prova1"
"69DEEC46",14363,"Prova1"
"6A197CF",26372,"Prova1"
"6BA5CF35",16712,"Prova1"
"6C643AAF",4849,"Prova1"
"70F93A3B",5591,"Prova1"
"71F3C736",52349,"Prova1"
"7365085E",7116,"Prova1"
"740BC298",30908,"Prova1"
"74E3795C",7647,"Prova1"
"77089DA4",9161,"Prova1"
"77A35CA",25901,"Prova1"
"792B1580",35969,"Prova1"
"79CBE190",26768,"Prova1"
"79D7BD5B",38411,"Prova1"
"7BA159DE",27739,"Prova1"
"7BCB919D",28012,"Prova1"
"7BF33A4A",6262,"Prova1"
"7C52AF6D",17376,"Prova1"
"7DCD514D",40276,"Prova1"
"8CAB3DB",36540,"Prova1"
"ADBC154",3558,"Prova1"
"B30252C",4814,"Prova1"
"B5D2F64",21754,"Prova1"
"E3A19A",835,"Prova1"
"F952D04",32850,"Prova1"
"107076E4",10030,"Prova2"
"10E8A59E",35558,"Prova2"
"13085463",4408,"Prova2"
"1397BFB0",35404,"Prova2"
"14A1B78B",18283,"Prova2"
"15A3743B",47123,"Prova2"
"15EA15E5",16394,"Prova2"
"1706D43",2950,"Prova2"
"1823A1FA",2746,"Prova2"
"189E4323",8603,"Prova2"
"19449717",7171,"Prova2"
"1A25F6BF",26584,"Prova2"
"1ABFFBDD",24816,"Prova2"
"1B52DD48",523,"Prova2"
"1B81A33E",30015,"Prova2"
"1C897F15",3512,"Prova2"
"1CCD2085",32652,"Prova2"
"1DF2A12E",32665,"Prova2"
"210B0D56",33829,"Prova2"
"21604216",7049,"Prova2"
"21C00083",1604,"Prova2"
"224511B3",4969,"Prova2"
"22EB47AA",41189,"Prova2"
"240164B6",0,"Prova2"
"2556AF8C",11354,"Prova2"
"25762941",45123,"Prova2"
"258DFC4B",86804,"Prova2"
"267C1E34",10774,"Prova2"
"26EA2FA",10617,"Prova2"
"2777E5EE",41231,"Prova2"
"281286BC",20251,"Prova2"
"28E49A9D",0,"Prova2"
"2B989949",36845,"Prova2"
"32B00B44",4294,"Prova2"
"347D5E36",29662,"Prova2"
"37594F45",57584,"Prova2"
"3826E0DE",31629,"Prova2"
"390C0CCC",17018,"Prova2"
"3A1B84F4",24036,"Prova2"
"3BC456D5",3971,"Prova2"
"3FE45559",1401,"Prova2"
"4195063D",434,"Prova2"
"445E679D",2830,"Prova2"
"4482494C",2988,"Prova2"
"44AF14C1",58488,"Prova2"
"44D029E4",124,"Prova2"
"46484C5E",40952,"Prova2"
"48295835",16357,"Prova2"
"492E11B4",808,"Prova2"
"4AD45AC5",16460,"Prova2"
"4B929F6",2389,"Prova2"
"4C84103A",13996,"Prova2"
"4D98EE47",31367,"Prova2"
"51FE3830",54725,"Prova2"
"52C319A1",2934,"Prova2"
"52E571B8",208,"Prova2"
"55BA642E",32866,"Prova2"
"562A867F",10912,"Prova2"
"5978A120",19685,"Prova2"
"5B8F96B8",11160,"Prova2"
"5D73E08B",9808,"Prova2"
"5DEBE97D",3198,"Prova2"
"5EA91E42",31514,"Prova2"
"60BAF986",7001,"Prova2"
"619B5433",12082,"Prova2"
"63116A24",32368,"Prova2"
"64B26A18",1050,"Prova2"
"673B031F",14048,"Prova2"
"67657F86",25691,"Prova2"
"68151142",12757,"Prova2"
"6878BF80",5442,"Prova2"
"68FA8B73",28156,"Prova2"
"69DEEC46",28272,"Prova2"
"6A197CF",25901,"Prova2"
"6BA5CF35",27196,"Prova2"
"6C643AAF",3791,"Prova2"
"70F93A3B",1388,"Prova2"
"71F3C736",53151,"Prova2"
"7365085E",0,"Prova2"
"740BC298",57329,"Prova2"
"74E3795C",1930,"Prova2"
"77089DA4",3071,"Prova2"
"77A35CA",14959,"Prova2"
"792B1580",2235,"Prova2"
"79CBE190",25824,"Prova2"
"79D7BD5B",48366,"Prova2"
"7BA159DE",13508,"Prova2"
"7BCB919D",70841,"Prova2"
"7BF33A4A",11119,"Prova2"
"7C52AF6D",807,"Prova2"
"7DCD514D",36207,"Prova2"
"8CAB3DB",0,"Prova2"
"ADBC154",4406,"Prova2"
"B30252C",4362,"Prova2"
"B5D2F64",0,"Prova2"
"E3A19A",2316,"Prova2"
"F952D04",6521,"Prova2"
"107076E4",9572,"Prova3"
"10E8A59E",7904,"Prova3"
"13085463",42062,"Prova3"
"1397BFB0",408,"Prova3"
"14A1B78B",4152,"Prova3"
"15A3743B",76,"Prova3"
"15EA15E5",7449,"Prova3"
"189E4323",9596,"Prova3"
"19449717",14786,"Prova3"
"1A25F6BF",4739,"Prova3"
"1ABFFBDD",20151,"Prova3"
"1B81A33E",395,"Prova3"
"1C897F15",4973,"Prova3"
"1CCD2085",25442,"Prova3"
"1DF2A12E",3921,"Prova3"
"210B0D56",62,"Prova3"
"21604216",2748,"Prova3"
"224511B3",1343,"Prova3"
"22EB47AA",4796,"Prova3"
"240164B6",0,"Prova3"
"2556AF8C",6028,"Prova3"
"25762941",235,"Prova3"
"258DFC4B",824,"Prova3"
"267C1E34",146,"Prova3"
"26EA2FA",3663,"Prova3"
"2777E5EE",7548,"Prova3"
"281286BC",1559,"Prova3"
"2B989949",45878,"Prova3"
"32B00B44",734,"Prova3"
