"","matricula","nota.teoria","nota.pratica","nota.listas","nota.provas","nota.final"
"1","10E8A59E",1.8,1.5,0.3,2.24,5.8
"2","13085463",1.74,1.475,0.36,2.16,6.7
"3","1397BFB0",2.64,2.225,0.46,3.64,8.8
"4","14A1B78B",1.8,1.55,0.2,2.64,6.9
"5","15A3743B",2.19,1.85,0.3,2.92,7.3
"6","19449717",1.83,1.55,0.27,1.48,7.5
"7","1A25F6BF",1.59,1.325,0.265,1.92,5.6
"8","1B81A33E",2.7,2.275,0.45,3.48,9
"9","1DF2A12E",2.58,2.175,0.445,3.44,8.6
"10","210B0D56",2.46,2.1,0.425,3.12,8.2
"11","21604216",1.98,1.725,0.335,3,6.9
"12","22EB47AA",2.28,1.925,0.38,2.96,7.6
"13","2556AF8C",1.53,1.275,0.3,1.64,6
"14","25762941",2.28,1.95,0.415,3.12,7.6
"15","258DFC4B",2.25,1.9,0.38,2.8,7.5
"16","267C1E34",2.4,2.05,0.35,3.44,8
"17","26EA2FA",1.71,1.475,0.185,2.08,7
"18","2777E5EE",1.5,1.175,0.28,1.72,6.4
"19","281286BC",2.49,2.125,0.455,3.36,8.3
"20","2B989949",1.5,1.25,0.38,1.44,5.6
"21","37594F45",2.13,1.8,0.345,3.16,7.1
"22","3826E0DE",2.25,1.9,0.435,1.84,7.5
"23","390C0CCC",2.1,1.75,0.425,2.64,7
"24","3A1B84F4",2.22,1.9,0.4,2.16,7.4
"25","3FE45559",1.23,1,0.085,1.96,4
"26","445E679D",2.13,1.8,0.26,2.72,7.1
"27","4482494C",2.52,2.125,0.405,3.68,8.4
"28","44AF14C1",2.1,1.8,0.43,2.04,7
"29","46484C5E",1.95,1.65,0.405,1.92,7.4
"30","4AD45AC5",2.73,2.275,0.39,3.88,9.1
"31","4B929F6",2.46,2.075,0.445,3.08,8.2
"32","4C84103A",2.46,2.1,0.425,3.44,8.2
"33","4D98EE47",2.4,2.05,0.435,3.56,8
"34","51FE3830",1.89,1.575,0.38,2.36,7.2
"35","52C319A1",1.23,1,0.21,1.2,4.4
"36","55BA642E",1.74,1.45,0.185,2.44,7.1
"37","562A867F",2.31,1.975,0.39,3.12,7.7
"38","5978A120",2.61,2.175,0.395,3.84,8.7
"39","5B8F96B8",1.56,1.325,0.21,2.96,6.4
"40","5EA91E42",2.37,2.025,0.37,2.72,7.9
"41","63116A24",2.46,2.075,0.47,2.76,8.2
"42","673B031F",1.89,1.6,0.24,2.36,6.7
"43","67657F86",2.1,1.8,0.365,2.24,7
"44","6878BF80",2.25,1.9,0.295,2.6,7.5
"45","68FA8B73",2.46,2.075,0.4,3.28,8.2
"46","6A197CF",1.74,1.45,0.265,2.2,7.2
"47","71F3C736",2.49,2.1,0.43,3.36,8.3
"48","74E3795C",1.38,1.15,0.115,2.16,5.6
"49","77A35CA",2.73,2.3,0.35,3.84,9.1
"50","79CBE190",2.22,1.875,0.295,2.48,7.4
"51","7BCB919D",2.28,1.95,0.45,3.48,7.6
"52","7BF33A4A",1.53,1.275,0.175,1.52,6.5
"53","7C52AF6D",2.31,1.95,0.29,3.68,7.7
"54","7DCD514D",2.1,1.8,0.43,2.08,7
"55","ADBC154",1.32,1.1,0.125,1.96,5.8
"56","E3A19A",1.86,1.575,0.235,2.04,6.8
"57","F952D04",2.58,2.175,0.405,3.88,8.6
